Target gene;Representative transcript;Gene name;3P-seq tags + 5;Total sites;8mer sites;7mer-m8 sites;7mer-A1 sites;6mer sites;Representative miRNA;Predicted occupancy (low miRNA);Predicted occupancy (high miRNA);Predicted occupancy (transfected miRNA);Cumulative weighted context++ score;Total context++ score;"Aggregate PCT
"
FAM122B;ENST00000370790.1;family with sequence similarity 122B ;334;2;1;0;1;0;hsa-miR-584-5p;0,0026;0,0187;0,1275;-0,16;-0,38;"N/A
"
MBTPS2;ENST00000379484.5;membrane-bound transcription factor peptidase, site 2 ;1711;1;0;1;0;1;hsa-miR-584-5p;0,003;0,0216;0,1441;-0,16;-0,16;"N/A
"
MTDH;ENST00000336273.3;metadherin ;5192;3;0;1;2;0;hsa-miR-584-5p;0,0036;0,0266;0,184;-0,16;-0,18;"N/A
"
OMD;ENST00000375550.4;osteomodulin ;5;2;0;1;1;0;hsa-miR-584-5p;0,0014;0,0105;0,0726;-0,16;-0,25;"N/A
"
LEKR1;ENST00000491763.1;leucine, glutamate and lysine rich 1 ;7;1;0;0;1;0;hsa-miR-584-5p;0,0025;0,0181;0,1249;-0,15;-0,15;"N/A
"
TMEM155;ENST00000394396.1;transmembrane protein 155 ;5;1;0;1;0;0;hsa-miR-584-5p;0,001;0,0076;0,0536;-0,15;-0,15;"N/A
"
RECQL;ENST00000444129.2;RecQ protein-like (DNA helicase Q1-like) ;5;1;0;1;0;0;hsa-miR-584-5p;0,002;0,0145;0,1019;-0,15;-0,15;"N/A
"
PLA2R1;ENST00000283243.7;phospholipase A2 receptor 1, 180kDa ;41;1;0;1;0;0;hsa-miR-584-5p;0,0038;0,028;0,1931;-0,15;-0,15;"N/A
"
SMIM13;ENST00000416247.2;small integral membrane protein 13 ;199;1;0;1;0;0;hsa-miR-584-5p;0,0024;0,0172;0,113;-0,15;-0,21;"N/A
"
SMUG1;ENST00000505128.1;single-strand-selective monofunctional uracil-DNA glycosylase 1 ;242;3;1;2;0;1;hsa-miR-584-5p;0,0018;0,0133;0,0939;-0,15;-0,7;"N/A
"
ORMDL1;ENST00000392350.3;ORM1-like 1 (S. cerevisiae) ;998;1;0;1;0;0;hsa-miR-584-5p;0,0019;0,014;0,0932;-0,15;-0,2;"N/A
"
RGS17;ENST00000367225.2;regulator of G-protein signaling 17 ;11;2;1;0;1;1;hsa-miR-584-5p;0,0093;0,0659;0,3843;-0,15;-0,27;"N/A
"
RPUSD2;ENST00000315616.7;RNA pseudouridylate synthase domain containing 2 ;70;1;1;0;0;0;hsa-miR-584-5p;0,0015;0,0111;0,0732;-0,15;-0,27;"N/A
"
EPT1;ENST00000260585.7;ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific) ;449;1;0;1;0;0;hsa-miR-584-5p;0,005;0,0365;0,2423;-0,15;-0,16;"N/A
"
LRRC23;ENST00000433346.1;leucine rich repeat containing 23 ;202;1;0;0;1;1;hsa-miR-584-5p;0,0015;0,0109;0,0762;-0,15;-0,33;"N/A
"
SERPINA10;ENST00000554723.1;serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10 ;7;1;0;0;1;0;hsa-miR-584-5p;0,0032;0,023;0,1504;-0,15;-0,15;"N/A
"
LHFPL2;ENST00000515007.2;lipoma HMGIC fusion partner-like 2 ;16;1;0;1;0;0;hsa-miR-584-5p;0,0079;0,0577;0,3958;-0,15;-0,15;"N/A
"
MYO5B;ENST00000285039.7;myosin VB ;12;2;1;1;0;0;hsa-miR-584-5p;0,0172;0,1187;0,6147;-0,15;-0,15;"N/A
"
PLAG1;ENST00000316981.3;pleiomorphic adenoma gene 1 ;58;2;0;1;1;1;hsa-miR-584-5p;0,0057;0,0414;0,2816;-0,15;-0,16;"N/A
"
SYT11;ENST00000368324.4;synaptotagmin XI ;750;1;0;1;0;0;hsa-miR-584-5p;0,0038;0,0277;0,1909;-0,15;-0,15;"N/A
"
CMKLR1;ENST00000312143.7;chemokine-like receptor 1 ;5;1;1;0;0;0;hsa-miR-584-5p;0,0055;0,0395;0,2536;-0,15;-0,15;"N/A
"
ZKSCAN3;ENST00000377255.3;zinc finger with KRAB and SCAN domains 3 ;63;1;0;1;0;1;hsa-miR-584-5p;0,0025;0,018;0,1246;-0,15;-0,16;"N/A
"
KBTBD3;ENST00000534815.1;kelch repeat and BTB (POZ) domain containing 3 ;5;1;0;0;1;2;hsa-miR-584-5p;0,0048;0,035;0,2399;-0,15;-0,15;"N/A
"
AK9;ENST00000285397.5;adenylate kinase 9 ;124;1;0;0;1;1;hsa-miR-584-5p;0,0041;0,0297;0,196;-0,15;-0,15;"N/A
"
ARMC1;ENST00000276569.3;armadillo repeat containing 1 ;93;1;0;0;1;0;hsa-miR-584-5p;0,0062;0,0444;0,256;-0,15;-0,16;"N/A
"
ZBTB37;ENST00000367701.5;zinc finger and BTB domain containing 37 ;213;3;0;2;1;0;hsa-miR-584-5p;0,0093;0,0677;0,4671;-0,15;-0,17;"N/A
"
CARD8;ENST00000520753.1;caspase recruitment domain family, member 8 ;159;1;0;1;0;2;hsa-miR-584-5p;0,0043;0,0315;0,2158;-0,15;-0,19;"N/A
"
C16orf72;ENST00000327827.7;chromosome 16 open reading frame 72 ;379;1;1;0;0;0;hsa-miR-584-5p;0,0032;0,0234;0,1554;-0,15;-0,32;"N/A
"
HDGFL1;ENST00000510882.2;hepatoma derived growth factor-like 1 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0012;0,0086;0,0604;-0,15;-0,15;"N/A
"
C10orf53;ENST00000374112.3;chromosome 10 open reading frame 53 ;5;1;0;0;1;1;hsa-miR-584-5p;0,0026;0,0193;0,1327;-0,15;-0,15;"N/A
"
AFF1;ENST00000395146.4;AF4/FMR2 family, member 1 ;28;2;1;1;0;0;hsa-miR-584-5p;0,0052;0,0377;0,2381;-0,15;-0,16;"N/A
"
DNAJC3;ENST00000602402.1;DnaJ (Hsp40) homolog, subfamily C, member 3 ;125;2;0;2;0;0;hsa-miR-584-5p;0,0063;0,0459;0,2962;-0,15;-0,18;"N/A
"
GPBP1;ENST00000424459.3;GC-rich promoter binding protein 1 ;732;1;1;0;0;1;hsa-miR-584-5p;0,0024;0,0175;0,104;-0,15;-0,37;"N/A
"
RALGPS2;ENST00000367635.3;Ral GEF with PH domain and SH3 binding motif 2 ;201;2;0;1;1;0;hsa-miR-584-5p;0,0038;0,0275;0,1899;-0,15;-0,15;"N/A
"
MAU2;ENST00000262815.8;MAU2 sister chromatid cohesion factor ;5234;1;0;1;0;0;hsa-miR-584-5p;0,0025;0,0185;0,1226;-0,15;-0,16;"N/A
"
DOK6;ENST00000382713.5;docking protein 6 ;8;1;1;0;0;0;hsa-miR-584-5p;0,0076;0,0545;0,3247;-0,15;-0,15;"N/A
"
C6ORF165;ENST00000369562.4;UPF0704 protein C6orf165  ;10;1;0;1;0;0;hsa-miR-584-5p;0,0024;0,0172;0,1133;-0,15;-0,33;"N/A
"
HSF2;ENST00000452194.1;heat shock transcription factor 2 ;1073;1;0;1;0;0;hsa-miR-584-5p;0,001;0,0074;0,0524;-0,15;-0,15;"N/A
"
ZNF365;ENST00000395254.3;zinc finger protein 365 ;173;2;0;0;2;0;hsa-miR-584-5p;0,005;0,0363;0,2394;-0,15;-0,17;"N/A
"
NKX2-4;ENST00000351817.4;NK2 homeobox 4 ;132;1;0;0;1;1;hsa-miR-584-5p;0,002;0,0146;0,1025;-0,15;-0,16;"N/A
"
DENND6A;ENST00000311128.5;DENN/MADD domain containing 6A ;139;1;0;1;0;0;hsa-miR-584-5p;0,0024;0,0176;0,1166;-0,15;-0,15;"N/A
"
FKBP10;ENST00000321562.4;FK506 binding protein 10, 65 kDa ;527;1;0;1;0;1;hsa-miR-584-5p;0,0023;0,0168;0,1191;-0,15;-0,15;"N/A
"
TOR1B;ENST00000259339.2;torsin family 1, member B (torsin B) ;222;1;0;1;0;1;hsa-miR-584-5p;0,0025;0,0184;0,1223;-0,15;-0,18;"N/A
"
IFIT3;ENST00000371818.4;interferon-induced protein with tetratricopeptide repeats 3 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0034;0,0248;0,159;-0,15;-0,15;"N/A
"
ETNK2;ENST00000367201.3;ethanolamine kinase 2 ;7;1;1;0;0;0;hsa-miR-584-5p;0,0024;0,0171;0,1147;-0,15;-0,15;"N/A
"
BTAF1;ENST00000265990.6;BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa ;917;3;0;1;2;0;hsa-miR-584-5p;0,0084;0,0615;0,4187;-0,15;-0,16;"N/A
"
ZG16;ENST00000400752.4;zymogen granule protein 16 ;23;1;1;0;0;0;hsa-miR-584-5p;0,0035;0,0249;0,1528;-0,15;-0,19;"N/A
"
PPP1R14C;ENST00000361131.4;protein phosphatase 1, regulatory (inhibitor) subunit 14C ;173;1;0;0;1;0;hsa-miR-584-5p;0,0019;0,0135;0,0916;-0,15;-0,16;"N/A
"
SEPT2;ENST00000391971.2;septin 2 ;1445;1;0;0;1;0;hsa-miR-584-5p;0,0029;0,0213;0,1413;-0,15;-0,15;"N/A
"
ZCCHC2;ENST00000269499.5;zinc finger, CCHC domain containing 2 ;13;2;0;1;1;1;hsa-miR-584-5p;0,0047;0,0343;0,2375;-0,15;-0,15;"N/A
"
C17orf77;ENST00000392620.1;chromosome 17 open reading frame 77 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0023;0,0165;0,1101;-0,15;-0,15;"N/A
"
SNAPC3;ENST00000380821.3;small nuclear RNA activating complex, polypeptide 3, 50kDa ;2406;1;0;1;0;0;hsa-miR-584-5p;0,0022;0,0159;0,1103;-0,15;-0,16;"N/A
"
ZNF728;ENST00000594710.1;zinc finger protein 728 ;0;1;0;1;0;0;hsa-miR-584-5p;0,0019;0,0137;0,0931;-0,15;-0,15;"N/A
"
CUL5;ENST00000393094.2;cullin 5 ;761;1;1;0;0;0;hsa-miR-584-5p;0,0054;0,0389;0,2313;-0,15;-0,16;"N/A
"
PURG;ENST00000475541.1;purine-rich element binding protein G ;29;1;0;0;1;1;hsa-miR-584-5p;0,0053;0,0382;0,2452;-0,15;-0,16;"N/A
"
LMX1A;ENST00000342310.3;LIM homeobox transcription factor 1, alpha ;5;1;0;1;0;0;hsa-miR-584-5p;0,0017;0,0121;0,0844;-0,15;-0,15;"N/A
"
ZNF521;ENST00000361524.3;zinc finger protein 521 ;520;1;0;0;1;0;hsa-miR-584-5p;0,0021;0,0155;0,1083;-0,15;-0,15;"N/A
"
GK5;ENST00000392993.2;glycerol kinase 5 (putative) ;73;1;0;1;0;0;hsa-miR-584-5p;0,0065;0,0471;0,3145;-0,15;-0,15;"N/A
"
ARHGEF38;ENST00000420470.2;Rho guanine nucleotide exchange factor (GEF) 38 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0027;0,0197;0,1381;-0,15;-0,15;"N/A
"
B4GALT6;ENST00000306851.5;UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6 ;146;1;0;1;0;0;hsa-miR-584-5p;0,0061;0,0446;0,2891;-0,15;-0,15;"N/A
"
AGAP5;ENST00000374094.4;ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0018;0,0135;0,0923;-0,15;-0,15;"N/A
"
SIX3;ENST00000260653.3;SIX homeobox 3 ;15;1;0;1;0;0;hsa-miR-584-5p;0,0023;0,017;0,1135;-0,15;-0,15;"N/A
"
ZNF562;ENST00000293648.4;zinc finger protein 562 ;130;3;1;0;2;0;hsa-miR-584-5p;0,0075;0,0544;0,3537;-0,15;-0,17;"N/A
"
ZMAT3;ENST00000311417.2;zinc finger, matrin-type 3 ;459;3;1;1;1;0;hsa-miR-584-5p;0,0063;0,0455;0,3017;-0,15;-0,18;"N/A
"
MBP;ENST00000397863.1;myelin basic protein ;96;1;0;1;0;0;hsa-miR-584-5p;0,002;0,015;0,1044;-0,15;-0,15;"N/A
"
ASPH;ENST00000356457.5;aspartate beta-hydroxylase ;3013;1;0;1;0;0;hsa-miR-584-5p;0,0033;0,024;0,165;-0,15;-0,15;"N/A
"
GPR110;ENST00000371253.2;G protein-coupled receptor 110 ;5;2;0;1;1;2;hsa-miR-584-5p;0,006;0,0443;0,3097;-0,15;-0,15;"N/A
"
UBE2H;ENST00000355621.3;ubiquitin-conjugating enzyme E2H ;855;1;0;1;0;0;hsa-miR-584-5p;0,0031;0,0225;0,1522;-0,15;-0,15;"N/A
"
NKTR;ENST00000232978.8;natural killer-tumor recognition sequence ;798;1;0;0;1;0;hsa-miR-584-5p;0,0049;0,0359;0,2386;-0,15;-0,15;"N/A
"
PIK3R1;ENST00000521381.1;phosphoinositide-3-kinase, regulatory subunit 1 (alpha) ;217;1;1;0;0;0;hsa-miR-584-5p;0,0049;0,0354;0,2294;-0,15;-0,16;"N/A
"
WASL;ENST00000223023.4;Wiskott-Aldrich syndrome-like ;230;1;1;0;0;0;hsa-miR-584-5p;0,0029;0,0208;0,1384;-0,15;-0,15;"N/A
"
EYS;ENST00000503581.1;eyes shut homolog (Drosophila) ;5;1;0;1;0;0;hsa-miR-584-5p;0,0028;0,0205;0,1432;-0,14;-0,14;"N/A
"
TMEM174;ENST00000296776.5;transmembrane protein 174 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0046;0,033;0,2015;-0,14;-0,14;"N/A
"
FCGR3B;ENST00000367964.2;Fc fragment of IgG, low affinity IIIb, receptor (CD16b) ;5;1;0;0;1;0;hsa-miR-584-5p;0,0022;0,016;0,1137;-0,14;-0,14;"N/A
"
EFCAB14;ENST00000371933.3;EF-hand calcium binding domain 14 ;264;2;0;1;1;0;hsa-miR-584-5p;0,0047;0,0342;0,2178;-0,14;-0,21;"N/A
"
LRRTM3;ENST00000361320.4;leucine rich repeat transmembrane neuronal 3 ;5;2;1;0;1;0;hsa-miR-584-5p;0,0067;0,0486;0,3289;-0,14;-0,27;"N/A
"
SULT2A1;ENST00000222002.3;sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1 ;35;1;0;1;0;0;hsa-miR-584-5p;0,0013;0,0097;0,0672;-0,14;-0,26;"N/A
"
VPS33B;ENST00000333371.3;vacuolar protein sorting 33 homolog B (yeast) ;7;1;0;0;1;0;hsa-miR-584-5p;0,0021;0,0153;0,1028;-0,14;-0,14;"N/A
"
B3GNT2;ENST00000301998.4;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 ;1860;1;0;1;0;0;hsa-miR-584-5p;0,0038;0,0281;0,1936;-0,14;-0,14;"N/A
"
LYSMD2;ENST00000267838.3;LysM, putative peptidoglycan-binding, domain containing 2 ;307;1;0;0;1;0;hsa-miR-584-5p;0,0007;0,0054;0,0386;-0,14;-0,14;"N/A
"
PIGK;ENST00000370812.3;phosphatidylinositol glycan anchor biosynthesis, class K ;1203;1;1;0;0;0;hsa-miR-584-5p;0,0043;0,0304;0,1701;-0,14;-0,3;"N/A
"
EXOC1;ENST00000346134.7;exocyst complex component 1 ;565;1;0;0;1;1;hsa-miR-584-5p;0,0025;0,0185;0,1295;-0,14;-0,14;"N/A
"
PMFBP1;ENST00000537465.1;polyamine modulated factor 1 binding protein 1 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0026;0,0188;0,1238;-0,14;-0,14;"N/A
"
SPRY3;ENST00000302805.2;sprouty homolog 3 (Drosophila) ;5;1;0;1;0;3;hsa-miR-584-5p;0,0068;0,0497;0,3393;-0,14;-0,14;"N/A
"
KCNJ16;ENST00000589377.1;potassium inwardly-rectifying channel, subfamily J, member 16 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0028;0,0207;0,1401;-0,14;-0,14;"N/A
"
ALG6;ENST00000371108.4;ALG6, alpha-1,3-glucosyltransferase ;140;1;1;0;0;2;hsa-miR-584-5p;0,0024;0,0175;0,1143;-0,14;-0,41;"N/A
"
MSI2;ENST00000284073.2;musashi RNA-binding protein 2 ;283;1;0;1;0;0;hsa-miR-584-5p;0,0016;0,0121;0,0826;-0,14;-0,15;"N/A
"
PGGT1B;ENST00000419445.1;protein geranylgeranyltransferase type I, beta subunit ;25;1;0;0;1;0;hsa-miR-584-5p;0,0057;0,0407;0,2395;-0,14;-0,16;"N/A
"
CNKSR2;ENST00000379510.3;connector enhancer of kinase suppressor of Ras 2 ;85;1;0;1;0;0;hsa-miR-584-5p;0,003;0,0219;0,1522;-0,14;-0,14;"N/A
"
AGAP7;ENST00000374095.5;ArfGAP with GTPase domain, ankyrin repeat and PH domain 7 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0018;0,0129;0,0882;-0,14;-0,14;"N/A
"
AGAP8;ENST00000602930.1;ArfGAP with GTPase domain, ankyrin repeat and PH domain 8 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0018;0,0129;0,0883;-0,14;-0,14;"N/A
"
FMOD;ENST00000354955.4;fibromodulin ;207;1;0;1;0;0;hsa-miR-584-5p;0,0041;0,0299;0,1967;-0,14;-0,14;"N/A
"
METTL13;ENST00000362019.3;methyltransferase like 13 ;851;1;0;0;1;0;hsa-miR-584-5p;0,0034;0,0248;0,1634;-0,14;-0,17;"N/A
"
TRPC4;ENST00000379705.3;transient receptor potential cation channel, subfamily C, member 4 ;21;2;1;1;0;2;hsa-miR-584-5p;0,0043;0,031;0,193;-0,14;-0,43;"N/A
"
PNMA1;ENST00000316836.3;paraneoplastic Ma antigen 1 ;70;1;0;0;1;0;hsa-miR-584-5p;0,0016;0,0116;0,0797;-0,14;-0,16;"N/A
"
FNBP1;ENST00000355681.3;formin binding protein 1 ;165;1;0;0;1;1;hsa-miR-584-5p;0,0044;0,0321;0,227;-0,14;-0,15;"N/A
"
NUBPL;ENST00000281081.7;nucleotide binding protein-like ;7;1;0;1;0;0;hsa-miR-584-5p;0,0026;0,0188;0,124;-0,14;-0,14;"N/A
"
PAX8;ENST00000263335.7;paired box 8 ;11;2;0;1;1;0;hsa-miR-584-5p;0,0026;0,0191;0,1368;-0,14;-0,14;"N/A
"
NCBP2;ENST00000447325.1;nuclear cap binding protein subunit 2, 20kDa ;4301;1;0;0;1;0;hsa-miR-584-5p;0,0041;0,0297;0,1963;-0,14;-0,15;"N/A
"
AGAP6;ENST00000374056.4;ArfGAP with GTPase domain, ankyrin repeat and PH domain 6 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0018;0,0131;0,0896;-0,14;-0,14;"N/A
"
ANKRD20A2;ENST00000377601.2;ankyrin repeat domain 20 family, member A2 ;5;1;0;0;1;1;hsa-miR-584-5p;0,0041;0,0296;0,1951;-0,14;-0,14;"N/A
"
C15orf54;ENST00000318578.3;chromosome 15 open reading frame 54 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0022;0,0158;0,1093;-0,14;-0,14;"N/A
"
ANKRD20A1;ENST00000377477.2;ankyrin repeat domain 20 family, member A1 ;5;1;0;0;1;1;hsa-miR-584-5p;0,0041;0,0296;0,1951;-0,14;-0,14;"N/A
"
KLHL31;ENST00000370905.3;kelch-like family member 31 ;16;3;0;1;2;0;hsa-miR-584-5p;0,0047;0,0342;0,2329;-0,14;-0,15;"N/A
"
PDHX;ENST00000448838.3;pyruvate dehydrogenase complex, component X ;40;1;0;0;1;0;hsa-miR-584-5p;0,004;0,0289;0,1932;-0,14;-0,14;"N/A
"
MITF;ENST00000328528.6;microphthalmia-associated transcription factor ;593;2;0;2;0;1;hsa-miR-584-5p;0,0041;0,0301;0,2093;-0,14;-0,15;"N/A
"
APOB;ENST00000233242.1;apolipoprotein B ;31;1;0;1;0;0;hsa-miR-584-5p;0,0037;0,027;0,1853;-0,14;-0,14;"N/A
"
CXCL9;ENST00000264888.5;chemokine (C-X-C motif) ligand 9 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0032;0,023;0,1483;-0,14;-0,14;"N/A
"
B3GNT9;ENST00000449549.3;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9 ;56;1;0;1;0;0;hsa-miR-584-5p;0,0013;0,0096;0,0671;-0,14;-0,14;"N/A
"
ARHGAP18;ENST00000368149.2;Rho GTPase activating protein 18 ;176;1;0;1;0;1;hsa-miR-584-5p;0,003;0,0216;0,1451;-0,14;-0,18;"N/A
"
METTL9;ENST00000358154.3;methyltransferase like 9 ;220;1;1;0;0;1;hsa-miR-584-5p;0,0036;0,026;0,1741;-0,14;-0,17;"N/A
"
GPR64;ENST00000379873.2;G protein-coupled receptor 64 ;175;1;0;1;0;1;hsa-miR-584-5p;0,0035;0,0257;0,1721;-0,14;-0,14;"N/A
"
BEND4;ENST00000504360.1;BEN domain containing 4 ;187;1;0;1;0;1;hsa-miR-584-5p;0,0046;0,0336;0,2298;-0,14;-0,14;"N/A
"
RAB5A;ENST00000273047.4;RAB5A, member RAS oncogene family ;68;1;1;0;0;0;hsa-miR-584-5p;0,0018;0,0132;0,084;-0,14;-0,34;"N/A
"
AGAP4;ENST00000448048.2;ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0018;0,0129;0,0883;-0,14;-0,14;"N/A
"
PAN2;ENST00000425394.2;PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae) ;310;1;1;0;0;0;hsa-miR-584-5p;0,0019;0,0141;0,0956;-0,14;-0,14;"N/A
"
C10orf10;ENST00000298295.3;chromosome 10 open reading frame 10 ;743;1;0;1;0;0;hsa-miR-584-5p;0,0017;0,0126;0,0805;-0,14;-0,29;"N/A
"
HNRNPH2;ENST00000316594.5;heterogeneous nuclear ribonucleoprotein H2 (H') ;85;1;0;0;1;0;hsa-miR-584-5p;0,0025;0,0183;0,121;-0,14;-0,14;"N/A
"
SIK1;ENST00000270162.6;salt-inducible kinase 1 ;2163;1;0;0;1;0;hsa-miR-584-5p;0,0023;0,0165;0,1128;-0,14;-0,14;"N/A
"
CD38;ENST00000226279.3;CD38 molecule ;23;2;1;1;0;0;hsa-miR-584-5p;0,0023;0,017;0,1117;-0,14;-0,44;"N/A
"
STOML3;ENST00000379631.4;stomatin (EPB72)-like 3 ;5;1;0;0;1;0;hsa-miR-584-5p;0,0015;0,011;0,0761;-0,14;-0,14;"N/A
"
FAM71C;ENST00000324341.1;family with sequence similarity 71, member C ;5;1;0;0;1;0;hsa-miR-584-5p;0,0017;0,0122;0,084;-0,14;-0,14;"N/A
"
ZNF2;ENST00000398107.2;zinc finger protein 2 ;95;1;0;1;0;0;hsa-miR-584-5p;0,002;0,0148;0,0998;-0,14;-0,14;"N/A
"
NDUFA5;ENST00000471770.1;NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5 ;28;2;0;0;2;1;hsa-miR-584-5p;0,0044;0,032;0,2122;-0,14;-0,24;"N/A
"
EDIL3;ENST00000296591.5;EGF-like repeats and discoidin I-like domains 3 ;2825;1;0;0;1;1;hsa-miR-584-5p;0,0058;0,0425;0,2936;-0,14;-0,14;"N/A
"
MTRF1L;ENST00000367231.5;mitochondrial translational release factor 1-like ;7;1;0;1;0;1;hsa-miR-584-5p;0,0045;0,0326;0,2221;-0,14;-0,14;"N/A
"
POM121C;ENST00000257665.5;POM121 transmembrane nucleoporin C ;5;1;0;1;0;0;hsa-miR-584-5p;0,0024;0,0175;0,1164;-0,14;-0,14;"N/A
"
NOS3;ENST00000297494.3;nitric oxide synthase 3 (endothelial cell) ;229;1;0;0;1;0;hsa-miR-584-5p;0,0015;0,0113;0,0776;-0,14;-0,14;"N/A
"
TESK2;ENST00000372084.1;testis-specific kinase 2 ;11;1;0;1;0;0;hsa-miR-584-5p;0,0022;0,0161;0,1108;-0,14;-0,14;"N/A
"
PRR18;ENST00000322583.3;proline rich 18 ;15;1;0;1;0;0;hsa-miR-584-5p;0,0017;0,0121;0,0831;-0,14;-0,14;"N/A
"
ATPAF1;ENST00000576409.1;ATP synthase mitochondrial F1 complex assembly factor 1 ;1637;1;0;1;0;2;hsa-miR-584-5p;0,0027;0,0197;0,1347;-0,14;-0,14;"N/A
"
MYLIP;ENST00000349606.4;myosin regulatory light chain interacting protein ;452;1;0;0;1;0;hsa-miR-584-5p;0,0025;0,0183;0,123;-0,14;-0,14;"N/A
"
COL14A1;ENST00000297848.3;collagen, type XIV, alpha 1 ;117;2;1;1;0;0;hsa-miR-584-5p;0,0069;0,0498;0,319;-0,14;-0,17;"N/A
"
BEND2;ENST00000380033.4;BEN domain containing 2 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0051;0,037;0,2414;-0,14;-0,14;"N/A
"
NRSN2;ENST00000382291.3;neurensin 2 ;101;1;0;0;1;0;hsa-miR-584-5p;0,0016;0,0115;0,0789;-0,14;-0,14;"N/A
"
SIRT2;ENST00000358931.5;sirtuin 2 ;25;1;0;1;0;0;hsa-miR-584-5p;0,0021;0,0154;0,1035;-0,13;-0,15;"N/A
"
RASSF2;ENST00000379400.3;Ras association (RalGDS/AF-6) domain family member 2 ;88;1;0;0;1;0;hsa-miR-584-5p;0,0041;0,0299;0,2115;-0,13;-0,14;"N/A
"
RPL36A-HNRNPH2;ENST00000409170.3;RPL36A-HNRNPH2 readthrough ;85;1;0;0;1;0;hsa-miR-584-5p;0,0025;0,0185;0,1232;-0,13;-0,14;"N/A
"
AFF4;ENST00000265343.5;AF4/FMR2 family, member 4 ;2755;2;0;2;0;0;hsa-miR-584-5p;0,0076;0,0557;0,3801;-0,13;-0,14;"N/A
"
BAAT;ENST00000259407.2;bile acid CoA: amino acid N-acyltransferase (glycine N-choloyltransferase) ;5;1;0;1;0;1;hsa-miR-584-5p;0,0051;0,0373;0,2609;-0,13;-0,13;"N/A
"
LYPLA1;ENST00000316963.3;lysophospholipase I ;57;2;0;0;2;1;hsa-miR-584-5p;0,0033;0,0239;0,1632;-0,13;-0,18;"N/A
"
COL6A5;ENST00000265379.6;collagen, type VI, alpha 5 ;5;1;0;1;0;0;hsa-miR-584-5p;0,0021;0,0153;0,1046;-0,13;-0,13;"N/A
"
ZNF701;ENST00000540331.1;zinc finger protein 701 ;15;1;0;1;0;0;hsa-miR-584-5p;0,0035;0,0255;0,1792;-0,13;-0,13;"N/A
"
FAM102B;ENST00000370035.3;family with sequence similarity 102, member B ;392;1;0;1;0;0;hsa-miR-584-5p;0,0019;0,0137;0,0939;-0,13;-0,14;"N/A
"
FBXL3;ENST00000355619.5;F-box and leucine-rich repeat protein 3 ;842;3;0;2;1;0;hsa-miR-584-5p;0,0014;0,0099;0,0693;-0,13;-0,2;"N/A
"
NF1;ENST00000358273.4;neurofibromin 1 ;161;3;0;2;1;1;hsa-miR-584-5p;0,0071;0,0515;0,3486;-0,13;-0,13;"N/A
"
ELP3;ENST00000521015.1;elongator acetyltransferase complex subunit 3 ;566;1;0;0;1;1;hsa-miR-584-5p;0,0014;0,0105;0,0733;-0,13;-0,15;"N/A
"
PAQR9;ENST00000340634.3;progestin and adipoQ receptor family member IX ;233;1;0;1;0;0;hsa-miR-584-5p;0,0012;0,0088;0,0615;-0,13;-0,13;"N/A
"
LACC1;ENST00000325686.6;laccase (multicopper oxidoreductase) domain containing 1 ;15;1;1;0;0;0;hsa-miR-584-5p;0,0042;0,0301;0,1863;-0,13;-0,13;"N/A
"
DDX60L;ENST00000511577.1;DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like ;6;1;1;0;0;0;hsa-miR-584-5p;0,0043;0,0315;0,2057;-0,13;-0,13;"N/A
"
ZNF582;ENST00000301310.4;zinc finger protein 582 ;57;1;0;0;1;0;hsa-miR-584-5p;0,0031;0,0228;0,1568;-0,13;-0,13;"N/A
"
SH3RF2;ENST00000511217.1;SH3 domain containing ring finger 2 ;53;1;0;1;0;0;hsa-miR-584-5p;0,0023;0,0169;0,1165;-0,13;-0,13;"N/A
"
