lineNo;assgNo;prevFixDur;firstfixDur;firstPassFixDur;nextFixDur;firstSaccLen;lastSaccLen;prevFixPos;landingPos;leavingPos;totalFixDur;meanFixDur;regressLen;regressDur;pupilDiamMax;pupilDiamLag;timePrtctg;titleNo;wordNo;target
571;18;139;119;119;119;161.6447;122.4847;128.1405;43.8463;28.3593;119;119;0;0;0.0983;0.1538;0.0196;8;3;0
3009;92;0;20;359;259;0;89.4539;0;97.9005;143.668;359;179.5;0;0;0.4916;1.7096;0.0473;2;1;0
4120;132;199;239;239;139;188.8207;135.9062;90.6697;100.6007;82.1173;239;239;0;557;0.4465;0.4465;0.0283;10;5;0
5566;166;139;179;278;159;204.0221;113.2166;151.053;56.0357;160.0383;278;139;0;0;0.0625;0.037;0.0208;5;5;0
9688;298;99;139;139;80;236.6648;200.3304;326.3771;95.7209;91.4945;139;139;0;0;0.2631;0.4446;0.0206;6;1;0
9002;283;80;139;139;139;122.7243;577.5866;108.4159;33.6155;42.1011;179;179;1172;179;0.1122;0.3507;0.0252;4;6;0
9127;286;119;179;179;99;1581.9637;105.0107;290.0431;100.5796;66.7027;179;179;1888;0;0.2052;0.1462;0.0198;10;8;0
3081;93;259;139;139;20;76.6877;86.3713;79;14.0089;4.0311;139;139;2231;0;-0.6944;2.9916;0.0105;6;5;0
2406;76;219;239;239;199;216.985;755.7508;267.6416;479.6009;481.5415;139;139;338;0;0.3737;0.8567;0.0155;2;4;0
10624;326;99;99;99;80;239.1783;868.8757;193.0026;52.1464;51.2884;99;99;338;0;0.0267;0.3182;0.0366;3;6;0
10497;321;0;99;99;258;197.6392;321.753;125.6742;71.332;75.8502;80;80;80;179;0.1837;0.3082;0.008;4;4;0
1782;56;139;159;278;199;807.1488;362.4417;814.4477;38.2426;25.7002;378;189;0;378;0.0949;0.2379;0.0569;3;2;0
7103;216;139;99;99;99;138.5036;183.1427;133.1353;12.7475;9.5525;99;99;0;0;0.0721;0.0871;0.0231;6;3;0
2710;82;0;259;259;199;0;60.698;0;71.6101;75.8584;259;259;0;0;0.9555;1.4635;0.0844;2;1;0
6533;194;119;179;179;99;674.9448;96.8401;584.1678;82.2876;81.0756;179;179;0;0;0.0701;0.212;0.0181;5;7;0
6993;212;219;80;80;80;88.6454;96.9665;131.0611;54.5206;57.6238;80;80;0;80;-0.0682;0.2253;0.0116;5;1;0
910;28;119;80;80;258;519.0323;189.191;453.1104;69.6312;52.4047;80;80;0;0;0.1464;0.1529;0.0086;10;7;0
8930;281;99;219;219;119;119.2015;317.5661;165.8463;52.8867;61.8567;219;219;0;0;0.1242;0.1327;0.0261;9;3;0
4224;134;219;159;438;199;527.5287;77.1524;585.0214;54.5573;128.501;397;198.5;0;835;0.0135;0.029;0.0205;3;1;0
4047;130;139;159;159;199;113.5473;158.5197;54.1202;63.3482;64.6239;159;159;0;159;0.2366;0.3241;0.0146;10;2;0
1947;61;179;99;337;119;173.6412;118.6518;107.0747;71.1758;161.5627;337;112.3333;0;0;0.2874;0.1379;0.0271;10;6;0
7954;247;0;159;159;99;0;246.6034;0;45.1054;46.0679;159;159;0;0;0.1183;0.2848;0.0964;2;3;0
2272;73;20;379;379;180;208.3273;104.0769;348.191;113.8475;106.9123;219;219;897;1056;1.3362;1.9002;0.0135;2;1;0
1971;61;139;139;139;179;194.3515;148.1595;247.3156;65.0308;78.4618;239;239;0;377;0.0659;0.1289;0.0192;4;1;0
9276;289;159;139;139;99;96.2549;297.1855;138.8092;76.0953;78.0016;99;99;0;1074;0.1002;0.2182;0.0048;4;1;0
9145;287;258;119;119;258;179.1291;243.0417;5.099;174.5716;185.632;119;119;954;139;0.0862;0.1542;0.0122;3;4;0
3311;100;219;338;597;199;489.5575;152.8807;487.2012;67.1509;67.1193;119;119;656;0;0.4355;0.3375;0.0161;4;1;0
3463;106;119;80;80;99;189.8486;373.3969;110.1635;90.5677;93.5428;139;139;675;139;0.3328;0.2018;0.0382;3;4;0
1321;42;99;239;239;139;198.1338;192.5104;209.2964;67.5;76.9025;179;179;0;0;0.0657;0.1102;0.0191;3;1;0
5897;175;199;159;159;199;78.2624;257.0627;145.0138;52.2805;57.5087;219;219;0;219;0.0125;0.054;0.0362;4;3;0
4577;142;139;139;219;179;182.654;476.5315;100.1798;85.5716;40.8718;219;109.5;0;0;0.0487;0.2282;0.0157;7;2;0
2389;75;100;419;559;219;829.4607;63.1269;890.8749;38.3308;141.008;559;279.5;0;458;0.2482;0.2482;0.0577;5;1;0
879;27;80;179;179;119;91.0934;102.2754;94.9368;13.4629;17.8885;179;179;0;179;0.1279;0.1469;0.0417;2;2;0
3461;106;258;119;119;159;102.0196;293.8388;194.8794;97.5;83.0015;80;80;0;378;0.5288;0.3328;0.022;3;1;0
9737;300;179;159;159;278;220.348;139.5036;261.0077;56.943;72.8097;159;159;0;0;0.0565;0.19;0.0497;2;1;0
6052;179;139;179;179;318;125.004;449.3;86.0233;51.1297;58.0086;179;179;0;0;-0.0409;0.0071;0.0192;4;5;0
10914;336;259;119;119;199;131.6368;58.2151;147.9797;31.1448;10.0125;119;119;199;0;0.1465;0.283;0.0101;7;3;0
5382;162;179;318;318;278;176.1817;151.2878;170.0471;7.9057;9.9247;318;318;0;0;0.0537;0.0917;0.0398;5;2;0
2556;78;199;339;339;179;122.4091;75.0067;171.843;49.5227;53.0212;20;20;12432;1016;0.0675;1.4375;0.0005;7;4;0
8468;267;219;298;298;239;129.0242;73.0274;75.9539;55.1589;43.0639;298;298;0;0;0.3002;0.2242;0.0592;2;2;0
2728;83;239;379;379;20;147.8792;125.036;96.1353;86.4928;83.5539;379;379;0;0;0.194;0.19;0.0379;4;2;0
3515;108;99;100;100;119;212.5094;657.164;100.02;120.6617;107.6894;100;100;0;0;0.1548;0.3008;0.0192;8;7;0
7108;216;179;139;139;80;232.5048;252.0005;216.0208;9.9247;5.7009;139;139;318;0;0.0781;0.1766;0.0324;9;4;0
1857;58;80;179;179;139;79.1581;222.509;97.3088;57.2189;64.8171;179;179;0;0;0.1263;0.2228;0.0272;5;1;0
1729;54;219;139;139;99;131.3097;613.3574;65;76.5147;89.3001;139;139;0;139;0.2758;0.1538;0.0229;4;6;0
10802;333;80;239;239;179;410.9699;190.217;444.6234;40;36.8816;239;239;0;0;0.0215;0.082;0.0378;3;1;0
1700;52;139;119;119;258;174.1522;409.2007;201.1368;41.4367;49.7293;199;199;0;199;0.0926;0.1356;0.0175;8;1;0
9466;293;80;99;99;99;262.5019;120.9566;229.7869;37.7359;12.53;99;99;198;0;0.2636;0.3266;0.0069;8;4;0
1814;57;80;99;99;99;477.3306;30.7612;484.8763;30.4179;15.5081;99;99;99;0;0.1593;0.0259;0.011;8;2;0
9390;291;80;179;179;159;168.7965;385.5208;157.0509;18.5068;26.5;179;179;0;0;0.1537;0.2497;0.028;4;3;0
4589;142;179;219;318;199;177.4965;824.8674;78.5175;97.9005;212.5376;318;159;0;0;0.2337;0.3452;0.0229;8;6;0
3819;122;139;159;159;139;450.0156;49.5429;492.7575;57.2735;49.6412;159;159;139;0;0.0668;0.2633;0.0283;5;2;0
6272;185;0;139;139;139;0;296.551;0;61.3514;81.3465;139;139;0;0;0.1365;0.258;0.0206;3;3;0
10099;308;99;179;179;80;182.5445;92.1588;108.074;74.8131;86.7828;179;179;0;0;0.0122;0.2347;0.0192;7;6;0
3595;111;239;119;119;199;78.0785;261.1384;67.082;40.5123;43.8634;119;119;0;0;0.427;0.8115;0.0192;4;3;0
2614;78;339;179;179;379;129.501;481.8641;115.5725;23.9008;20.1308;120;120;22218;918;0.904;2.0375;0.003;7;5;0
4641;143;179;179;318;219;174.5029;166.012;93.4077;86.6098;208.0727;318;159;0;636;0.0752;0.0752;0.0369;3;4;0
4341;135;179;278;278;159;90.7331;243.837;90;66.9496;76.58;258;258;0;794;0.089;0.1455;0.0159;2;2;0
4652;144;179;258;258;139;96.791;107.3231;91.7878;35.7946;48.7263;258;258;0;258;-0.0683;-0.0238;0.0282;3;4;0
1158;35;100;179;179;199;151.9803;239.3141;90.5539;76.0428;72.8011;139;139;199;0;0.2638;0.3843;0.029;3;2;0
3035;93;0;219;219;20;0;173.3854;0;64.8093;64.6471;219;219;0;40;-0.3884;0.5216;0.0166;4;2;0
9004;283;179;119;199;139;193.0104;85.6417;188.4091;28.3064;16.4924;139;139;0;417;0.1122;0.3507;0.0195;4;3;0
2456;77;20;140;140;20;135.4114;129.0591;79.1581;64.2748;46.5725;140;140;637;20;-0.8475;-0.8475;0.0123;5;5;0
2341;74;279;20;20;299;85.6461;80.6505;55.0818;107.5976;96.6087;199;199;0;0;-0.8588;-0.6298;0.0169;3;2;0
7020;213;0;239;239;139;460.0024;113.2089;507.001;48.3865;62.0846;160;80;0;160;0.1468;0.0703;0.0326;1;1;0
4422;136;0;179;298;199;462.5595;225.8058;576.2118;108.1573;37.5832;278;139;0;358;0.1837;0.2667;0.0104;3;1;0
853;25;119;139;238;179;401.5;614.0004;377.0053;31.1006;24.3824;238;119;0;0;0.0751;0.1951;0.0407;8;7;0
10885;336;119;99;99;139;63.4606;148.0076;68.0074;18.5809;4.272;99;99;0;0;0.089;0.1315;0.0084;1;6;0
9262;289;99;80;80;99;199.2768;176.5007;113;89.8053;95.794;139;139;2265;1352;0.2227;0.1217;0.0067;1;4;0
6943;210;119;139;139;99;84.061;261.0388;140.2926;69.7711;76.2955;139;139;0;278;0.1893;0.2853;0.0372;4;1;0
1804;57;179;99;99;99;279.2535;670.9257;283.0071;3.8079;4.6098;99;99;0;0;0.1129;0.2743;0.011;7;8;0
9353;290;139;139;139;119;150.1408;215.0913;9.2195;139.5896;134.5335;139;139;0;278;0.0852;0.1402;0.0202;2;2;0
2694;81;259;179;179;179;133.5459;155.5394;73.5527;68.0074;65.0577;179;179;0;0;0.345;0.682;0.0191;6;2;0
776;23;219;99;99;99;174.5287;76.4232;74.7262;97.6588;100.3195;99;99;0;0;0.1026;0.1396;0.0153;6;2;0
4509;139;119;139;139;179;177.3415;137.5082;155.5635;24.7032;30.7774;139;139;0;278;-0.0498;0.2292;0.0362;3;3;0
5679;168;199;199;199;99;115.3137;386.5;55.9017;66.2288;64.531;199;199;218;0;0.052;0.154;0.0191;5;6;0
4731;146;159;99;198;179;173.5987;245.8709;41.0122;138.0444;48.0234;198;99;0;198;-0.0134;-0.0439;0.0226;5;2;0
2862;87;359;179;179;199;77.5016;55.581;107.9676;39.6232;42.5735;179;179;638;796;1.7037;1.7037;0.023;2;3;0
959;30;0;159;159;139;0;178.6708;0;54.2333;50.9166;159;159;0;0;0.0904;0.1309;0.0163;5;2;0
8177;255;80;239;239;99;361.4198;62.9682;403.8638;64.846;67.537;139;139;0;0;0.2699;0.2689;0.0169;8;1;0
9116;286;99;80;80;80;200.5898;766.2997;93.3435;106.0578;110.3279;159;159;358;159;0.0837;0.2052;0.0176;5;6;0
10135;309;219;99;218;139;644.6877;156.2314;692.9885;51.7035;52.0865;218;109;0;0;-0.1108;0.0647;0.0259;6;2;0
10018;306;179;80;80;139;202.9495;170.5007;124.1974;80.2574;80.3197;159;159;0;1272;0.1525;0.193;0.0106;5;3;0
5617;167;437;159;159;497;272.9991;40.5278;365.5845;94.3001;91.571;159;159;596;715;0.114;0.114;0.0107;1;2;0
2466;77;159;259;259;120;165.4645;53.1154;115.8016;49.1859;40.9695;339;339;20;0;-1.226;0.447;0.0299;5;6;0
2598;78;140;179;179;199;150.1874;242.1012;250.6472;75.5066;72.7479;279;279;4225;1016;-0.714;0.728;0.007;7;3;0
7288;223;139;139;278;99;257.7072;585.7184;366.3796;141.2887;75.4072;278;139;0;0;0.5098;0.4313;0.0666;10;1;0
3957;127;139;159;159;159;112.8683;101.0272;23.0868;90.7483;93.5;159;159;0;0;0.2141;0.4466;0.0211;7;4;0
1968;61;139;159;159;99;482.9319;590.5294;474.6114;12.0934;2.2361;159;159;0;0;0.0629;0.0769;0.0128;3;5;0
7228;221;139;99;99;119;181.0249;137.2088;134.0597;46.0109;52.1177;99;99;0;0;0.1016;0.1771;0.0223;7;6;0
6295;185;99;139;139;119;115.1086;184.0849;125.6065;107.3604;105.661;139;139;0;139;0.3245;0.196;0.0206;7;2;0
1591;48;139;199;199;219;130.0471;472.6957;120.2664;6;11.5109;199;199;0;0;0.2446;0.2496;0.0409;7;5;0
1060;32;179;358;358;179;228.5662;91.9035;172.8381;60.5083;53.0024;358;358;179;0;0.0319;0.1034;0.1085;1;4;0
833;25;179;219;219;139;249.2569;102.528;277.065;72.5603;78.5446;219;219;0;0;0.0966;0.0966;0.0375;4;1;0
4797;148;219;219;219;179;103.8809;107.3371;117.5925;57.717;58.7729;219;219;0;438;0.2256;0.3006;0.0125;3;1;0
3320;101;99;99;99;99;203.6989;202.5883;191.157;22.3886;22.0057;99;99;0;0;0.2865;0.5545;0.0255;2;3;0
6051;179;219;159;298;179;117.0171;125.004;37;82.5136;46.3816;298;149;0;0;0.0261;-0.0124;0.0319;4;4;0
5479;164;99;119;119;80;262.0305;642.5553;94.8683;172.4739;172.888;119;119;0;0;0.2187;0.3642;0.0101;8;7;0
8183;255;139;139;278;80;221.5141;125.6234;281.064;59.5756;56.0022;139;139;0;139;0.2689;0.5094;0.0169;7;1;0
2846;86;159;179;179;219;238.0189;398.0707;340.2881;96.9665;53.6493;379;189.5;239;379;0.7577;2.5372;0.043;8;4;0
8926;281;139;99;99;119;334.5688;249.1154;402.9516;76.5914;82.6075;99;99;0;0;0.1837;0.1327;0.0118;9;1;0
5082;154;99;99;99;179;48.283;105.3043;21.2603;37;48.3735;99;99;0;0;0.2253;0.3163;0.0115;8;2;0
5407;163;179;238;357;119;123.501;481.0969;71.0211;54.5711;88.4604;357;178.5;0;0;0.0592;0.0652;0.0389;3;4;0
10815;333;159;99;99;179;163.6719;125.9811;104.1201;51.8483;47.7624;99;99;0;0;0.048;0.1595;0.0157;5;3;0
1779;56;119;199;199;219;144.5424;388.5051;78.848;77.7978;90.3562;199;199;0;0;0.0568;0.2019;0.03;3;3;0
2757;84;140;20;239;139;100.7782;119.3325;173.1127;99.334;85.8793;239;119.5;0;0;1.4612;1.4612;0.058;2;1;0
3560;110;99;119;238;80;120.0802;217.0576;148.0709;58.5769;73.1386;238;119;0;0;0.271;0.142;0.0367;7;1;0
7576;231;139;99;99;179;61.0266;572.1713;125.2557;89.9611;96.8969;80;80;0;179;0.2082;0.3207;0.0134;1;1;0
7745;239;199;179;179;139;232.7928;174.0065;206.1553;36.7967;39.5601;179;179;0;0;0.0411;0.0166;0.0255;8;6;0
8234;256;179;239;239;99;122.55;411.2922;172.4906;51.8652;47.8566;239;239;992;755;0.1224;0.3344;0.0205;10;7;0
2554;78;199;339;339;179;116.6298;84.0729;60.208;56.8001;99.3642;199;199;12432;1016;0.7725;1.4375;0.005;7;4;0
1250;39;139;139;139;99;247.6812;247.601;203.7891;68.5292;69.7011;139;139;0;139;0.1527;0.3402;0.05;2;3;0
7110;216;80;179;179;179;116.1034;187.6306;112.2943;59.2558;50.01;139;139;775;0;0.0276;0.4381;0.0324;10;1;0
5538;165;99;159;159;100;163.0598;303.5807;83.4326;83.86;91.7197;159;159;398;0;0.2825;0.8215;0.0166;8;7;0
10448;319;119;119;199;80;179.6003;137.7725;155.7081;31.8277;59.8164;199;99.5;0;199;0.2427;0.2572;0.0354;1;6;0
3637;113;99;99;99;179;192.3441;586.7355;110.4536;79.6006;113.0542;99;99;0;0;0.3645;0.1465;0.0285;1;5;0
7741;239;100;99;99;99;230.8252;553.0509;107.5407;128.9467;121.5082;99;99;0;0;-0.0149;0.0411;0.0141;7;2;0
8236;256;99;99;99;179;169.3259;81.5751;157.156;18.7883;11.8533;99;99;0;198;0.2319;0.3344;0.0085;10;4;0
497;15;239;139;139;239;194.8153;140.6289;167.2872;78.7464;79.2023;139;139;855;0;0.1233;0.0793;0.0147;7;1;0
2511;78;139;299;518;279;601.584;186.6936;796.1231;191.4954;195.8992;458;152.6667;1434;11140;0.3575;0.748;0.0115;6;1;0
5800;171;139;80;80;139;69.2604;1041.8582;98.1122;39.9155;1182.604;80;80;0;0;-0.021;-0.021;0.0081;10;1;0
2084;66;99;139;139;119;586.3519;178.1264;524.7666;55.8055;42.3232;139;139;0;99;0.1729;0.1859;0.0139;8;6;0
10356;316;119;179;179;80;85.1469;169.0976;44.9444;48.7494;56.2428;179;179;0;0;0.3523;0.2303;0.0332;2;3;0
10100;308;179;80;179;80;92.1588;658.1172;45.0444;53.1507;53.3971;179;89.5;0;0;0.0122;0.2347;0.0192;7;7;0
5569;166;199;139;139;238;119.6547;271.0018;104.7378;27.3542;32.3303;139;139;656;239;0.037;0.106;0.0104;6;2;0
3073;93;179;199;199;379;122.3121;134.0755;98.4886;69.7585;88.7384;199;199;0;199;-0.1094;0.1626;0.0151;4;3;0
7189;220;80;139;139;99;93.0484;80.7233;85.5862;45.1885;55.211;139;139;0;0;0.3301;0.1991;0.0305;4;1;0
1913;60;179;80;80;99;99.4409;106.4918;103.2376;48.8185;54.4541;80;80;0;0;0.2239;0.2724;0.0387;7;1;0
10479;320;99;80;160;199;383.4169;93.5481;433.5262;53.9282;60.407;160;80;0;0;0.0162;0.1647;0.0494;6;1;0
3177;97;379;219;219;20;100.6591;71.528;97.8621;25.8699;20.0998;219;219;597;219;0.2646;0.1026;0.0423;2;3;0
10225;311;80;99;99;179;461.1196;92.9045;516.1172;64.0078;86.6444;99;99;0;99;0.1472;0.1767;0.0124;5;1;0
9511;293;139;298;298;179;547.5386;314.5894;459.1841;96.199;96.3756;159;159;1611;3462;0.1086;0.2401;0.0111;2;5;0
2626;79;239;339;339;239;135.0454;153.5985;155.541;37.769;32.6535;339;339;0;0;0.283;1.5165;0.0359;1;3;0
2183;70;199;199;199;319;111.7866;191.7661;36.2353;97.1648;105.6243;199;199;159;1036;-0.0316;-0.0316;0.0161;6;4;0
1696;52;119;258;258;119;110.0659;151.4414;78.2304;65.5934;66.9048;179;179;0;0;0.1871;0.1646;0.0157;8;2;0
4315;135;199;199;199;159;129.2604;89.5126;88.0909;44.3199;73.077;199;199;0;199;0.017;0.01;0.0123;7;2;0
10023;306;99;80;80;119;424.8088;156.5799;457.515;36.0174;35.6931;80;80;0;640;0.191;0.2265;0.0054;7;2;0
8996;283;278;179;179;119;160.0383;242.7396;248.0907;92.8453;97.5833;179;179;0;337;0.1462;0.1752;0.0252;4;1;0
4508;139;199;179;298;139;171.4563;177.3415;64.8151;124.3111;53.472;298;149;0;596;-0.0393;0.1882;0.0777;3;2;0
8047;250;298;179;179;179;102.5987;109.8692;96.566;56.648;49;179;179;0;0;0.0613;0.1718;0.0315;6;1;0
4638;143;139;99;198;179;108.5012;87.8208;89.3085;102.6706;98.718;198;99;0;396;-0.0098;0.0752;0.023;3;1;0
1075;33;119;99;417;99;228.6099;340.0037;255.6423;86.7597;89.7232;417;208.5;0;595;0.1759;0.1794;0.0546;1;1;0
3691;115;219;80;199;99;99.3001;168.4429;145.4545;50.7075;58.0517;199;99.5;0;0;0.0815;0.3095;0.0405;10;1;0
4680;144;119;139;139;139;167.8519;86.5361;108.7796;61.0082;64.5697;139;139;0;0;0.0952;0.1437;0.0152;7;7;0
2339;74;279;20;20;299;678.6019;53.4439;731.4479;22.1923;29.4109;20;20;0;0;-0.7208;-0.8588;0.0017;3;2;0
635;21;179;179;179;199;86.7943;429.6283;96.8349;100.0112;91.5;179;179;0;0;0.1051;0.1391;0.0166;7;1;0
8518;269;100;239;239;179;84.5;51.8773;81.3941;48.0755;71.218;239;239;0;0;0.1532;0.0762;0.0534;4;1;0
6701;200;119;80;80;99;321.5016;146.1249;267.8246;65.192;67.1193;80;80;0;0;0.0165;0.2751;0.0177;4;8;0
1690;52;0;139;238;99;116.6812;291.5257;164.5965;50.9215;70.0874;298;149;0;497;0.0766;0.1871;0.0262;4;1;0
4007;129;199;139;139;159;125.5488;202.4846;221.0543;95.9401;89.6507;80;80;6064;0;0.3596;0.3876;0.007;7;1;0
9049;284;139;119;119;199;445.445;246.8694;571.2136;135.0083;139.2596;119;119;0;0;0.3797;0.1617;0.0139;10;1;0
6035;178;358;139;139;139;533.496;152.0403;759.3958;412.7484;418.6123;139;139;1132;357;0.3536;0.3536;0.0104;3;5;0
8546;270;259;99;278;99;81.2665;61.4003;117.8007;49.2392;26.7301;278;139;0;0;0.1882;0.2232;0.0781;6;1;0
9279;289;139;99;99;99;314.8115;210.4525;338.1479;24.7487;25.8312;199;199;6363;4116;0.1292;0.2182;0.0096;4;3;0
5913;176;179;159;159;219;145.6683;606.7967;66.9403;88.459;85.4181;159;159;0;0;0.1051;0.1201;0.0207;1;5;0
2589;78;140;159;159;219;147.5813;409.4985;147.0544;29;28.5;20;20;2152;2051;0.6525;-0.1365;0.0005;6;3;0
1817;57;139;99;99;99;168.0216;40.05;166.2438;13.0863;7.9057;99;99;3837;0;0.1739;0.0259;0.011;8;10;0
396;12;159;139;139;338;195.1442;335.1869;206.1189;52.1177;44.5982;179;179;0;179;0.2058;0.2673;0.0323;1;4;0
9201;288;119;80;80;179;202.6111;269.2438;136.6199;69.9035;74.2445;80;80;338;159;0.0632;0.1737;0.0115;3;3;0
2623;78;139;299;518;279;202.0155;0;383.8815;166.7213;110.7249;698;349;1434;11140;1.954;1.954;0.0176;6;1;0
924;28;139;119;119;239;165.0068;427.3585;157.5373;11.0114;26.2393;119;119;0;0;0.0819;0.0954;0.0127;4;3;0
4732;146;99;179;278;239;245.8709;169.4616;167.2991;83.9658;36.225;278;139;0;278;-0.0134;-0.0439;0.0317;5;3;0
9136;287;139;99;99;159;215.5052;418.0108;291.8938;92.2727;97.1648;99;99;0;0;0.0952;0.1342;0.0101;1;1;0
2847;86;120;239;239;159;398.0707;106.6314;426;30.7327;30.3356;239;239;0;478;0.7577;2.9147;0.0271;8;2;0
3268;99;139;119;119;139;219.9528;165.0916;287.3134;69.3704;74.4664;198;99;337;0;0.162;0.2725;0.0282;10;1;0
667;21;159;119;119;159;131.5485;107.8378;34.0147;95.9231;92.4446;100;100;497;100;0.1786;0.4941;0.0093;8;2;0
3350;102;80;318;318;80;438.9727;25.0799;431.3931;2.5;29;318;318;80;0;0.068;-0.1885;0.0568;4;2;0
6232;183;179;238;238;99;149.5301;365.4436;206.1698;59.4643;54.7403;238;238;0;0;0.1936;0.3761;0.0229;8;1;0
8536;270;139;179;179;179;122.0092;119.105;103.3683;25.1247;34.9464;179;179;0;0;0.0947;0.1882;0.0503;3;3;0
6719;200;119;80;80;119;239.669;351.4616;174.2871;70.214;66.4831;80;80;676;80;-0.0024;-0.0024;0.0177;10;3;0
10092;308;259;219;219;80;631.6051;148.4461;643.0498;39.246;43.0029;219;219;0;0;0.0122;0.0122;0.0234;6;1;0
9863;304;159;119;119;199;65.622;176.9357;85.0529;21.8289;17.3566;119;119;3141;832;0.1625;0.348;0.0096;4;3;0
10708;329;159;179;179;179;93.1625;420.2011;62.9682;30.9233;27.6134;179;179;0;0;0.152;-0.0315;0.0315;2;5;0
689;22;99;99;99;159;171.0117;224.2014;96.2549;77.4145;67.0168;99;99;0;795;0.0466;0.2246;0.0059;4;4;0
985;30;139;139;318;258;78.3661;191.0007;106.827;60.208;62.2676;219;219;0;0;0.0789;0.1174;0.0225;2;1;0
6562;194;119;99;99;99;255.6766;716.0939;70.4557;186.6039;186.2961;179;179;3596;179;0.1656;0.419;0.0181;10;8;0
9084;285;119;139;139;298;265.9215;326.0751;201.2958;72.5603;78.7718;139;139;0;0;0.2192;0.4067;0.0235;10;3;0
8555;271;159;159;159;179;77.1622;136.8247;79.0569;58.3095;58.2516;159;159;0;0;0.1212;0.3122;0.0282;3;1;0
9389;291;219;80;80;179;493.0096;168.7965;615.7085;122.0502;130.0087;80;80;0;0;0.1537;0.2497;0.0125;4;1;0
1765;55;219;119;119;80;187.2385;508.4958;120.5985;70.3847;70.6629;119;119;0;0;0.0369;0.2439;0.02;9;3;0
25;1;139;378;378;119;150.0208;274.2358;137.3645;21.006;7.8262;378;378;0;0;0.186;0.3045;0.0494;6;3;0
705;22;159;100;100;80;606.0101;114.9282;702.1204;92.0883;98.3781;139;139;0;776;0.2036;0.1361;0.0083;9;3;0
6540;194;139;80;160;119;209.1728;134.1538;125.016;77.026;73.5459;160;80;0;99;0.1431;0.2781;0.0162;8;6;0
710;22;179;99;218;139;201.8143;100.6591;60.0167;136.6318;137.6154;218;109;6938;1191;0.0771;0.0751;0.0131;7;4;0
6066;179;80;139;139;179;71.2531;110.5271;37.7359;46.5027;54.5825;139;139;0;0;0.2571;0.3516;0.0149;7;4;0
4314;135;80;199;199;199;105.9835;129.2604;149.9133;74.0152;70.1142;80;80;0;199;0.107;0.01;0.0049;7;1;0
7285;223;199;80;239;278;127.063;166.0158;200.5717;63.7201;56.1427;239;119.5;0;0;0.4488;0.5463;0.0573;9;1;0
3147;96;199;239;239;299;111.7016;311.6637;46.6905;91.1661;65.1556;239;239;0;0;-0.3184;-0.0299;0.0308;3;4;0
7457;227;80;119;119;119;466.623;210.3426;522.6902;74.3589;57.9418;139;139;0;0;0.1602;0.0707;0.0132;1;2;0
8803;278;139;139;139;258;271.8607;155.4638;211.0095;56.1093;65.2763;139;139;2107;0;0.1788;0.1788;0.0185;10;8;0
7152;219;99;139;139;259;330.4334;278.8301;330.1636;12.1758;10.6066;139;139;0;0;0.0776;0.1586;0.0221;2;2;0
3581;111;139;159;159;99;470.1205;151.9186;395.2847;76.2955;75.6059;159;159;218;0;0.539;0.374;0.0256;1;7;0
6570;194;179;139;139;80;250.72;206.8846;197.0406;52.3689;50.1124;99;99;80;337;0.249;0.2701;0.01;8;4;0
8342;261;159;139;238;139;144.0009;181.7945;209.5376;65.1249;77.1314;119;119;0;238;0.0824;0.3834;0.0194;4;2;0
5589;166;99;80;80;139;73.2888;119.6046;45.2217;37.054;51.6188;80;80;0;0;0.275;0.162;0.006;10;8;0
8654;275;139;199;378;139;220.2527;116.7776;226.7443;18.5068;98.6826;378;189;1331;0;0.0368;0.0918;0.0511;3;2;0
6725;201;199;139;139;119;167.7953;142.4307;149.4055;38.5519;9.1924;139;139;0;0;0.1579;0.4224;0.0864;2;3;0
2740;83;199;159;159;379;103.0194;297.7302;69.0652;61.0266;65.3242;159;159;4864;0;0.6485;1.3035;0.0159;10;3;0
4228;134;179;99;238;219;138.8254;809.7711;33.2415;109.1788;181.0041;238;119;1612;0;0.005;-0.039;0.0123;4;6;0
5087;154;258;99;99;139;157.7862;91.9633;101.7693;155.1789;163.717;99;99;0;0;0.3163;0.3583;0.0115;10;1;0
7428;227;179;80;80;119;116.1658;66.8973;182.9235;76.7366;94.3319;80;80;0;0;0.1067;0.2347;0.0076;1;1;0
6261;184;119;99;99;99;153.8059;132.8053;91.6788;79.8279;76.7366;99;99;0;0;-0.023;0.3695;0.0306;8;2;0
10460;319;139;99;99;80;161.5193;119.3838;86.8159;83.6675;92.3066;99;99;0;0;-0.0323;0.0557;0.0176;3;3;0
2467;77;20;140;140;20;53.1154;450.0189;139.0575;99.786;100.221;20;20;637;20;-0.9505;0.447;0.0018;5;5;0
7668;236;159;99;99;159;230.5049;152.0526;137.2334;96.0013;99.9212;99;99;1512;239;0.3791;0.1806;0.0099;9;6;0
501;15;139;239;239;219;219.4767;96.9459;205.1195;71.9757;153.7636;497;248.5;974;0;0.0608;0.0608;0.0526;5;2;0
5607;167;298;258;397;338;127.5088;274.5551;78.848;49.0408;96.8814;397;198.5;1053;238;0.35;0.35;0.0267;1;7;0
984;30;179;258;258;139;470.5327;78.3661;552.8408;91.8286;82.5848;338;338;796;0;0.0084;0.1174;0.0347;3;1;0
5323;160;179;139;139;179;84.0907;451.0635;23.4307;75.0267;80.0812;139;139;1273;0;0.1487;0.3512;0.0343;2;4;0
